"GEOID","NAME","fem_bachelor","fem_doctorate","fem_highschool","fem_noschool","fem_ovr_25","male_bachelor","male_doctorate","male_highschool","male_noschool","male_ovr_25","pop_ovr_25"
"42101013200","Census Tract 132, Philadelphia County, Pennsylvania",108,10,400,16,1169,111,75,244,27,782,1951
"42101013300","Census Tract 133, Philadelphia County, Pennsylvania",376,10,178,63,1294,409,45,225,36,1237,2531
"42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania",492,98,101,0,1213,399,103,16,0,908,2121
"42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania",437,26,163,13,1253,605,90,68,0,1095,2348
"42101013500","Census Tract 135, Philadelphia County, Pennsylvania",451,17,329,14,1386,517,28,318,0,1458,2844
"42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania",396,85,94,0,1228,408,75,78,0,1112,2340
"42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania",586,92,170,33,1425,431,57,243,24,1362,2787
"42101013700","Census Tract 137, Philadelphia County, Pennsylvania",211,0,459,0,1846,261,32,389,19,1444,3290
"42101013800","Census Tract 138, Philadelphia County, Pennsylvania",134,5,239,0,807,75,0,264,8,631,1438
"42101013900","Census Tract 139, Philadelphia County, Pennsylvania",98,6,374,18,1107,90,0,374,4,919,2026
"42101014000","Census Tract 140, Philadelphia County, Pennsylvania",163,52,170,25,813,191,0,284,0,852,1665
"42101014100","Census Tract 141, Philadelphia County, Pennsylvania",110,0,382,44,944,128,0,206,18,753,1697
"42101014200","Census Tract 142, Philadelphia County, Pennsylvania",645,108,171,0,1542,774,62,207,9,1717,3259
"42101014300","Census Tract 143, Philadelphia County, Pennsylvania",306,20,72,5,647,208,7,169,13,758,1405
"42101014400","Census Tract 144, Philadelphia County, Pennsylvania",298,8,188,63,1100,548,17,399,27,1527,2627
"42101014500","Census Tract 145, Philadelphia County, Pennsylvania",43,0,167,6,567,77,0,114,38,409,976
"42101014600","Census Tract 146, Philadelphia County, Pennsylvania",73,0,299,5,843,120,0,302,41,776,1619
"42101014700","Census Tract 147, Philadelphia County, Pennsylvania",0,0,116,0,575,70,0,184,0,439,1014
"42101014800","Census Tract 148, Philadelphia County, Pennsylvania",0,0,67,7,268,6,0,223,8,454,722
"42101014900","Census Tract 149, Philadelphia County, Pennsylvania",83,9,442,28,1179,9,0,464,20,1138,2317
"42101015101","Census Tract 151.01, Philadelphia County, Pennsylvania",93,0,251,6,706,31,0,418,1,726,1432
"42101015102","Census Tract 151.02, Philadelphia County, Pennsylvania",108,0,481,68,1430,145,0,528,2,929,2359
"42101015200","Census Tract 152, Philadelphia County, Pennsylvania",79,0,631,24,1560,9,0,417,0,925,2485
"42101015300","Census Tract 153, Philadelphia County, Pennsylvania",31,0,234,7,670,19,4,167,0,340,1010
"42101015600","Census Tract 156, Philadelphia County, Pennsylvania",20,0,299,5,631,50,0,227,0,556,1187
"42101015700","Census Tract 157, Philadelphia County, Pennsylvania",130,23,214,17,757,167,9,287,47,977,1734
"42101015800","Census Tract 158, Philadelphia County, Pennsylvania",604,81,835,23,2461,877,103,574,0,2457,4918
"42101016000","Census Tract 160, Philadelphia County, Pennsylvania",621,0,813,0,2501,809,16,773,0,2750,5251
"42101016100","Census Tract 161, Philadelphia County, Pennsylvania",280,9,640,129,2020,283,9,680,63,2134,4154
"42101016200","Census Tract 162, Philadelphia County, Pennsylvania",112,0,197,21,712,50,0,254,34,783,1495
"42101016300","Census Tract 163, Philadelphia County, Pennsylvania",67,0,285,20,1063,32,0,207,65,1085,2148
"42101016400","Census Tract 164, Philadelphia County, Pennsylvania",60,0,472,60,1543,26,0,440,49,1171,2714
"42101016500","Census Tract 165, Philadelphia County, Pennsylvania",65,0,517,0,1106,0,0,143,0,352,1458
"42101016600","Census Tract 166, Philadelphia County, Pennsylvania",27,0,271,24,669,12,0,177,33,416,1085
"42101016701","Census Tract 167.01, Philadelphia County, Pennsylvania",54,0,555,12,1024,12,30,527,16,1049,2073
"42101016702","Census Tract 167.02, Philadelphia County, Pennsylvania",7,0,487,28,952,20,0,403,0,760,1712
"42101016800","Census Tract 168, Philadelphia County, Pennsylvania",79,0,559,7,1334,9,2,516,16,955,2289
"42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania",122,0,570,0,1253,25,0,413,2,756,2009
"42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania",67,0,891,0,1871,86,0,537,59,1286,3157
"42101017000","Census Tract 170, Philadelphia County, Pennsylvania",164,24,494,7,1254,141,0,258,26,980,2234
"42101017100","Census Tract 171, Philadelphia County, Pennsylvania",103,0,606,9,1466,22,0,362,0,942,2408
"42101017201","Census Tract 172.01, Philadelphia County, Pennsylvania",107,0,407,0,1247,67,0,416,11,887,2134
"42101017202","Census Tract 172.02, Philadelphia County, Pennsylvania",36,0,527,9,1281,52,0,536,11,941,2222
"42101017300","Census Tract 173, Philadelphia County, Pennsylvania",17,0,464,0,894,76,9,317,10,823,1717
"42101017400","Census Tract 174, Philadelphia County, Pennsylvania",24,0,325,4,732,31,0,438,0,723,1455
"42101017500","Census Tract 175, Philadelphia County, Pennsylvania",30,0,533,161,2088,16,31,742,144,1877,3965
"42101017601","Census Tract 176.01, Philadelphia County, Pennsylvania",60,0,552,22,1690,22,0,621,77,1684,3374
"42101017602","Census Tract 176.02, Philadelphia County, Pennsylvania",22,0,381,30,1116,37,0,237,76,950,2066
"42101017701","Census Tract 177.01, Philadelphia County, Pennsylvania",127,0,255,10,1194,4,0,453,57,939,2133
"42101017702","Census Tract 177.02, Philadelphia County, Pennsylvania",76,0,553,33,1610,21,0,341,86,1272,2882
"42101017800","Census Tract 178, Philadelphia County, Pennsylvania",37,0,734,36,1747,77,0,627,70,1544,3291
"42101017900","Census Tract 179, Philadelphia County, Pennsylvania",122,0,1123,60,2273,214,0,674,25,1641,3914
"42101018001","Census Tract 180.01, Philadelphia County, Pennsylvania",102,10,322,0,985,107,0,426,35,1101,2086
"42101018002","Census Tract 180.02, Philadelphia County, Pennsylvania",363,0,726,32,1993,297,0,1060,23,2248,4241
"42101018300","Census Tract 183, Philadelphia County, Pennsylvania",164,0,791,16,1637,141,2,705,1,1328,2965
"42101018400","Census Tract 184, Philadelphia County, Pennsylvania",75,12,490,14,887,85,1,457,10,887,1774
"42101018800","Census Tract 188, Philadelphia County, Pennsylvania",44,0,1248,0,2594,29,0,820,94,2162,4756
"42101019000","Census Tract 190, Philadelphia County, Pennsylvania",274,0,908,32,2307,80,0,1077,42,1919,4226
"42101019100","Census Tract 191, Philadelphia County, Pennsylvania",305,0,1302,195,2956,160,33,1110,139,2487,5443
"42101019200","Census Tract 192, Philadelphia County, Pennsylvania",82,1,835,12,2268,0,0,828,12,1900,4168
"42101019501","Census Tract 195.01, Philadelphia County, Pennsylvania",67,0,432,33,1468,20,0,408,35,1075,2543
"42101019502","Census Tract 195.02, Philadelphia County, Pennsylvania",10,0,432,28,1078,9,0,349,4,800,1878
"42101019700","Census Tract 197, Philadelphia County, Pennsylvania",118,0,844,40,2442,20,57,321,92,1387,3829
"42101019800","Census Tract 198, Philadelphia County, Pennsylvania",32,0,856,102,2011,19,0,689,29,1680,3691
"42101019900","Census Tract 199, Philadelphia County, Pennsylvania",147,0,509,51,1380,36,0,344,39,1073,2453
"42101020000","Census Tract 200, Philadelphia County, Pennsylvania",40,5,93,0,368,40,11,158,12,397,765
"42101020101","Census Tract 201.01, Philadelphia County, Pennsylvania",126,11,797,0,1673,148,0,546,31,994,2667
