"GEOID","NAME","fem_bachelor","fem_doctorate","fem_highschool","fem_noschool","fem_ovr_25","male_bachelor","male_doctorate","male_highschool","male_noschool","male_ovr_25","pop_ovr_25"
"42101033500","Census Tract 335, Philadelphia County, Pennsylvania",276,0,498,54,1601,204,0,371,80,1217,2818
"42101033600","Census Tract 336, Philadelphia County, Pennsylvania",505,0,1072,57,2436,433,0,990,7,2706,5142
"42101033701","Census Tract 337.01, Philadelphia County, Pennsylvania",459,0,817,73,2072,457,13,388,14,1610,3682
"42101033702","Census Tract 337.02, Philadelphia County, Pennsylvania",315,10,606,200,2024,416,0,722,60,1776,3800
"42101033800","Census Tract 338, Philadelphia County, Pennsylvania",267,12,1094,24,2364,240,34,1052,18,2047,4411
"42101033900","Census Tract 339, Philadelphia County, Pennsylvania",222,0,346,148,1275,166,11,285,17,1021,2296
"42101034000","Census Tract 340, Philadelphia County, Pennsylvania",175,0,403,79,998,156,0,374,2,980,1978
"42101034100","Census Tract 341, Philadelphia County, Pennsylvania",387,40,902,15,2265,471,0,960,0,2030,4295
"42101034200","Census Tract 342, Philadelphia County, Pennsylvania",373,0,560,19,1741,178,0,410,0,1015,2756
"42101034400","Census Tract 344, Philadelphia County, Pennsylvania",726,26,963,43,3060,573,18,893,105,2754,5814
"42101034501","Census Tract 345.01, Philadelphia County, Pennsylvania",199,19,551,20,1498,231,11,520,43,1229,2727
"42101034502","Census Tract 345.02, Philadelphia County, Pennsylvania",413,18,598,86,2017,438,12,499,37,1861,3878
"42101034600","Census Tract 346, Philadelphia County, Pennsylvania",242,21,342,23,1107,146,33,287,0,952,2059
"42101034701","Census Tract 347.01, Philadelphia County, Pennsylvania",407,24,828,115,2367,510,22,436,13,2211,4578
"42101034702","Census Tract 347.02, Philadelphia County, Pennsylvania",363,0,500,9,1495,214,0,420,21,1374,2869
"42101034801","Census Tract 348.01, Philadelphia County, Pennsylvania",164,10,953,33,1804,177,0,778,0,1571,3375
"42101034802","Census Tract 348.02, Philadelphia County, Pennsylvania",289,0,879,125,2123,183,52,778,1,1558,3681
"42101034803","Census Tract 348.03, Philadelphia County, Pennsylvania",328,0,640,11,1640,267,8,593,3,1391,3031
"42101034900","Census Tract 349, Philadelphia County, Pennsylvania",141,0,771,86,1757,85,13,964,81,1963,3720
"42101035100","Census Tract 351, Philadelphia County, Pennsylvania",319,15,862,39,2015,413,30,497,45,1631,3646
"42101035200","Census Tract 352, Philadelphia County, Pennsylvania",187,8,668,35,1437,253,12,649,0,1428,2865
"42101035301","Census Tract 353.01, Philadelphia County, Pennsylvania",217,14,711,14,1900,249,0,918,0,1799,3699
"42101035302","Census Tract 353.02, Philadelphia County, Pennsylvania",207,0,692,13,1715,175,9,699,51,1688,3403
"42101035500","Census Tract 355, Philadelphia County, Pennsylvania",570,27,865,62,2841,456,11,914,44,2388,5229
"42101035601","Census Tract 356.01, Philadelphia County, Pennsylvania",487,0,715,17,2402,515,30,542,2,1891,4293
"42101035602","Census Tract 356.02, Philadelphia County, Pennsylvania",214,17,389,38,1332,399,17,350,46,1219,2551
"42101035701","Census Tract 357.01, Philadelphia County, Pennsylvania",392,0,772,30,1751,289,0,587,18,1526,3277
"42101035702","Census Tract 357.02, Philadelphia County, Pennsylvania",192,24,617,7,1552,271,22,623,11,1500,3052
"42101035800","Census Tract 358, Philadelphia County, Pennsylvania",528,15,838,27,2475,369,12,792,59,2325,4800
"42101035900","Census Tract 359, Philadelphia County, Pennsylvania",270,14,904,55,2265,303,26,809,16,1765,4030
"42101036000","Census Tract 360, Philadelphia County, Pennsylvania",259,0,617,44,1544,225,7,312,16,1041,2585
"42101036100","Census Tract 361, Philadelphia County, Pennsylvania",161,7,388,5,1212,168,11,610,2,1385,2597
"42101036201","Census Tract 362.01, Philadelphia County, Pennsylvania",274,0,774,0,1810,299,36,654,0,1817,3627
"42101036202","Census Tract 362.02, Philadelphia County, Pennsylvania",337,0,1053,32,2425,302,11,806,31,2034,4459
"42101036203","Census Tract 362.03, Philadelphia County, Pennsylvania",265,0,916,0,1924,242,0,716,0,1816,3740
"42101036301","Census Tract 363.01, Philadelphia County, Pennsylvania",167,0,554,39,1420,155,33,596,0,1197,2617
"42101036302","Census Tract 363.02, Philadelphia County, Pennsylvania",156,0,425,0,1272,98,0,503,1,955,2227
"42101036303","Census Tract 363.03, Philadelphia County, Pennsylvania",346,0,1105,12,2148,536,0,858,33,2248,4396
"42101036400","Census Tract 364, Philadelphia County, Pennsylvania",21,5,109,21,230,37,12,207,81,550,780
"42101036501","Census Tract 365.01, Philadelphia County, Pennsylvania",274,22,776,20,1972,292,17,856,10,1883,3855
"42101036502","Census Tract 365.02, Philadelphia County, Pennsylvania",316,11,652,19,1598,183,0,552,0,1360,2958
"42101036600","Census Tract 366, Philadelphia County, Pennsylvania",245,43,68,0,915,174,44,62,0,826,1741
"42101036700","Census Tract 367, Philadelphia County, Pennsylvania",484,90,112,0,1211,486,116,172,13,1363,2574
"42101036900","Census Tract 369, Philadelphia County, Pennsylvania",117,51,90,0,543,111,77,120,0,592,1135
"42101037200","Census Tract 372, Philadelphia County, Pennsylvania",259,0,745,135,1897,185,36,607,61,1629,3526
"42101037300","Census Tract 373, Philadelphia County, Pennsylvania",597,72,769,55,2584,496,58,638,60,2143,4727
"42101037500","Census Tract 375, Philadelphia County, Pennsylvania",366,47,233,0,1318,324,40,242,29,1232,2550
"42101037600","Census Tract 376, Philadelphia County, Pennsylvania",304,14,274,44,952,302,19,435,0,1381,2333
"42101037700","Census Tract 377, Philadelphia County, Pennsylvania",95,0,554,41,1063,117,0,358,23,793,1856
"42101037800","Census Tract 378, Philadelphia County, Pennsylvania",100,22,239,30,950,372,13,464,29,1282,2232
"42101037900","Census Tract 379, Philadelphia County, Pennsylvania",504,0,679,25,2204,215,9,841,0,1885,4089
"42101038000","Census Tract 380, Philadelphia County, Pennsylvania",52,0,248,16,711,55,5,328,15,711,1422
"42101038100","Census Tract 381, Philadelphia County, Pennsylvania",36,0,68,7,269,21,0,139,0,258,527
"42101038200","Census Tract 382, Philadelphia County, Pennsylvania",26,0,458,4,1028,102,5,323,43,811,1839
"42101038300","Census Tract 383, Philadelphia County, Pennsylvania",84,0,373,42,980,34,0,703,91,1348,2328
"42101038400","Census Tract 384, Philadelphia County, Pennsylvania",220,40,303,0,1043,177,27,175,9,797,1840
"42101038500","Census Tract 385, Philadelphia County, Pennsylvania",283,45,42,0,791,221,36,70,0,680,1471
"42101038600","Census Tract 386, Philadelphia County, Pennsylvania",169,67,31,0,603,117,15,67,0,493,1096
"42101038700","Census Tract 387, Philadelphia County, Pennsylvania",286,49,123,10,888,168,56,78,0,608,1496
"42101038800","Census Tract 388, Philadelphia County, Pennsylvania",323,90,125,0,1739,329,60,207,0,1193,2932
"42101038900","Census Tract 389, Philadelphia County, Pennsylvania",150,12,354,17,1294,115,0,328,21,974,2268
"42101039000","Census Tract 390, Philadelphia County, Pennsylvania",226,0,909,101,2642,54,0,1078,20,1923,4565
"42101980000","Census Tract 9800, Philadelphia County, Pennsylvania",0,8,0,0,69,4,0,30,0,49,118
"42101980100","Census Tract 9801, Philadelphia County, Pennsylvania",7,0,8,0,32,28,0,16,0,64,96
"42101980200","Census Tract 9802, Philadelphia County, Pennsylvania",75,0,193,4,435,6,0,76,0,141,576
"42101980300","Census Tract 9803, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0
"42101980400","Census Tract 9804, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0
"42101980500","Census Tract 9805, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0
"42101980600","Census Tract 9806, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0
"42101980700","Census Tract 9807, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0
"42101980800","Census Tract 9808, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0
"42101980900","Census Tract 9809, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,4,0,4,4
"42101989100","Census Tract 9891, Philadelphia County, Pennsylvania",1,0,151,0,304,31,0,854,48,1846,2150
